METALLOGENESIS,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,,D,M,LAT,D,M,LON
KOLAR BELT,KUDITHAINAPALLE,KARNATAKA,57 L,12.81666667,78.25,Gold,QUARTZ REEF IN BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,EASTERN GREENSTONE,,12,49,12.81666667,78,15,78.25
KOLAR BELT,MAHARAJAGADAI,TAMILNADU,57 L,12.63333333,78.26666667,Gold,"SCHISTS,METABASICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.,,12,38,12.63333333,78,16,78.26666667
KOLAR BELT,MALLAPAKONDA,TAMILNADU,57 L,12.73333333,78.21666667,Gold,"BFQ,AMPHIBOLITE,CHAMPION GNEISS",BIF HOSTED-CONCORDANT,KOLAR Gp.,,12,44,12.73333333,78,13,78.21666667
KOLAR BELT,SURAPALLE,KARNATAKA,57 L,12.91666667,78.28333333,Gold,METAACID TUFF(CHAMPION GNEISS),CONCORDANT SILICIFIC ZONE,EASTERN GREENSTONE,,12,55,12.91666667,78,17,78.28333333
MAHAKOSHAL BELT,GULALDIH,MADHYA PRADESH,63 L,24.26666667,82.78333333,Gold,"BIF,GREYWACKE,ARGILLITE",STRATIFORM(BIF-SULPHIDE),AGORI Fm..,,24,16,24.26666667,82,47,82.78333333
MAHAKOSHAL BELT,GURHARPAHAR,MADHYA PRADESH,63 L,24.35,82.75,Gold,"TUFF,ARGILLITE",EPIGENETIC-VEIN TYPE,"AGORI,PARSOI Fm..",,24,21,24.35,82,45,82.75
MAHAKOSHAL BELT,IMALIYA,MADHYA PRADESH,64 A,23.61666667,80.25,Gold,SHEAR ZONE IN DOLOMITE,SHEAR CONTROLLED,SLEEMABAD Fm.,,23,37,23.61666667,80,15,80.25
NUGGIHALLI BELT,KEMPINKOTE,KARNATAKA,57 D,12.9,76.51666667,Gold,AURIFEROUS QTZ.LODE IN METAULTRAMAFITES,REMOBILISED QUARTZ VEINS-STRATABOUND,SARGUR Gp.,,12,54,12.9,76,31,76.51666667
RAMAGIRI BELT,KOTAPALLE,ANDHRA PRADESH,57 F,14.31666667,77.5,Gold,METASEDIMENTS AND METAVOLCANICS,STRATABOUND-REMOBILISED,DHARWAR Sgp.,,14,19,14.31666667,77,30,77.5
RAMAGIRI BELT,YEPPAMANA,ANDHRA PRADESH,57 F,14.3,77.5,Gold,"PHYLLITE,CHLORITE SCHIST(GREENSTONE)",STRATABOUND-CONCORDANT,KOLAR GREENSONE,,14,18,14.3,77,30,77.5
RAMAGIRI BELT,YERAPPA-GENTALLAPPA,ANDHRA PRADESH,57 F,14.3,77.5,Gold,METAVOLCANICS-METASEDIMENTS,STRATABOUND-DISCORDANT,DHARWAR Sgp.,,14,18,14.3,77,30,77.5
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,PENAKACHERLA-KUDERU,ANDHRA PRADESH,57 F,14.73333333,77.41666667,Gold,"METABASALT,BFQ",QTZ-ANKERITE VEIN,EASTERN GREENSTONE,,14,44,14.73333333,77,25,77.41666667
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,PENUKONDA,ANDHRA PRADESH,57 F,14.1,77.53333333,Gold,"METABASALT,BIF,SERICITE SCHIST",VEINS WITHIN SHEAR ZONES,EASTERN GREENSTONE,,14,6,14.1,77,32,77.53333333
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,CHENNABHAVI,ANDHRA PRADESH,57 F,14.31666667,77.5,Gold,METABASITE,AURIFEROUS VEIN IN SHEARS,EASTERN GREENSTONE,,14,19,14.31666667,77,30,77.5
RAMGIRI-PUNAKACHERLA-HUNGUD BELT,KOTTAPALLE,ANDHRA PRADESH,57 F,14.33333333,77.48333333,Gold,"METABASITE,BIF,ACID TUFF",GOLD BEARING QUART VEIN,EASTERN GREENSTONE,,14,20,14.33333333,77,29,77.48333333
RAMGIRI-PUNAKACHERLA-HUNGUD BELT,BHADRAMPALLE,ANDHRA PRADESH,57 F,14.88333333,77.4,Gold,"METABASITE,METAANDESITE,B.H.CHERT",QUARTZ VEIN WITH SULPHIDE,EASTERN GREENSTONE,,14,53,14.88333333,77,24,77.4
RAMGIRI-PUNAKACHERLA-HUNGUD BELT,RAMAPURAM,ANDHRA PRADESH,57 F,14.88333333,77.36666667,Gold,"METABASALT,CHLORITE-ACTINOLITE SCHIST",QUARTZ-SULPHIDE VEINS,EASTERN GREENSTONE,,14,53,14.88333333,77,22,77.36666667
SHIMOGA BELT,CHINMULGUND,KARNATAKA,48 N,14.58333333,75.4,Gold,"METASEDIMENTS,BIF",CONCORDANT-BIF HOSTED,CHITRADURGA BELT Gp.,,14,35,14.58333333,75,24,75.4
SHIMOGA BELT,HONNALI,KARNATAKA,48 N,14.23333333,75.65,Gold,QUARTZ-CARBONATE VEINS TRAVERSING BIF,STRATABOUND-DISCORDANT,CHITRADURGA BELT,,14,14,14.23333333,75,39,75.65
SINGBHUM  BELT,LAWA,JHARKHAND,73 I,23.01666667,86.08333333,Gold,"METASEDIMENTS,METABASICS",STRATABOUND,SINGBHUM Gp.,,23,1,23.01666667,86,5,86.08333333
SINGBHUM  BELT,MYSERA,JHARKHAND,73 I,23.05,86.01666667,Gold,METASEDIMENTS-METAVOLCANICS,STRATABOUND,SINGBHUM Gp.,,23,3,23.05,86,1,86.01666667
SINGBHUM BELT,PAHARDIHA,JHARKHAND,73 F,22.5,85.26666667,Gold,"CHLORITE SCHIST,QUARTZITE",VEIN-DISCORDANT,SINGBHUM Gp.,,22,30,22.5,85,16,85.26666667
SONAKHAN BELT,SONAKHAN,CHATTISGARH,64 K,21.4,82.63333333,Gold,MAFIC AND ACID VOLCANICS,SHEAR CONTROLLED,SONAKHAN Gp.,,21,24,21.4,82,38,82.63333333
WYNAD BELT,PHOENIX,KERALA,58 A,11.46666667,76.4,Gold,QTZ.VEIN IN AMPHIBOLITE-GRANULITE,EPIGENETIC-DISCORDANT,GRANULITE TERRAIN,,11,28,11.46666667,76,24,76.4
WYNAD BELT,SOLOMINE,KERALA,58 A,11.48333333,76.31666667,Gold,QTZ.VEIN WITHIN MAG.QTZT-HB.GRANULITE,REMOBILISED-CONCORDANT,GRANULITE TERRAIN,,11,29,11.48333333,76,19,76.31666667
WYNAD BELT,ALPHA,KERALA,58 A,11.46666667,76.33333333,Gold,SHEARED HORNBLENDE GRANULITE-AMPHIBOLITE,SYNGENETIC-REMOBILISED,GRANULITE TERRAIN,,11,28,11.46666667,76,20,76.33333333
